entry_time,exit_time,side,entry,sl,tp,units,exit,exit_reason,pnl,equity_after,r_multiple
2021-12-08 09:00:00+00:00,2021-12-08 10:00:00+00:00,short,1.12834,1.1298599999999999,1.1253,1590839.1803960053,1.1298599999999999,SL,-2449.892337810002,239357.66308237737,-1.0131578947369286
2021-12-08 20:00:00+00:00,2021-12-08 22:00:00+00:00,long,1.13494,1.13402,1.1367800000000001,2601713.729156186,1.13402,SL,-2445.6109054072385,236912.05217697014,-1.0217391304349244
2021-12-13 12:00:00+00:00,2021-12-13 12:00:00+00:00,short,1.12741,1.12846,1.12531,2256305.2588282973,1.12846,SL,-2414.246626946563,234497.8055500236,-1.019047619047744
2021-12-17 09:00:00+00:00,2021-12-17 11:00:00+00:00,long,1.13357,1.13127,1.13817,1019555.6763044642,1.13127,SL,-2365.3691690264586,232132.43638099713,-1.00869565217397
2021-12-21 03:00:00+00:00,2021-12-21 07:00:00+00:00,short,1.12863,1.12919,1.1275100000000002,4145222.0782328765,1.12919,SL,-2404.2288053751718,229728.20757562196,-1.0357142857145265
2021-12-23 04:00:00+00:00,2021-12-23 07:00:00+00:00,long,1.13386,1.1333,1.1349800000000003,4102289.4209923996,1.1333,SL,-2379.327864176605,227348.87971144536,-1.0357142857145123
2022-01-05 04:00:00+00:00,2022-01-05 07:00:00+00:00,short,1.12956,1.13017,1.12834,3727030.8149417304,1.13017,SL,-2348.029413413776,225000.85029803158,-1.0327868852461164
2022-01-10 20:00:00+00:00,2022-01-11 01:00:00+00:00,long,1.13231,1.13149,1.1339499999999996,2743912.80851318,1.1339499999999996,TP,4445.138749790009,229445.98904782158,1.975609756097396
2022-01-19 21:00:00+00:00,2022-01-20 01:00:00+00:00,short,1.13454,1.1359599999999999,1.1317000000000006,1615816.8242807128,1.1359599999999999,SL,-2326.776226964042,227119.21282085753,-1.0140845070423483
2022-02-03 03:00:00+00:00,2022-02-03 06:00:00+00:00,long,1.1299,1.12924,1.1312199999999997,3441200.1942560277,1.12924,SL,-2340.0161320941465,224779.1966887634,-1.0303030303032341
2022-02-15 00:00:00+00:00,2022-02-15 00:00:00+00:00,short,1.13057,1.1312499999999999,1.1292100000000005,3305576.421894591,1.1312499999999999,SL,-2313.903495325959,222465.29319343742,-1.029411764706084
2022-03-16 23:00:00+00:00,2022-03-17 00:00:00+00:00,long,1.1018,1.10026,1.1048799999999996,1444579.8259315295,1.1048799999999996,TP,4420.414267349929,226885.70746078735,1.987012987012901
2022-03-24 04:00:00+00:00,2022-03-24 08:00:00+00:00,short,1.0985,1.0996299999999999,1.0962400000000003,2007838.1191222726,1.0996299999999999,SL,-2309.013836990582,224576.69362379677,-1.0176991150443662
2022-03-24 22:00:00+00:00,2022-03-25 01:00:00+00:00,long,1.0997,1.09898,1.1011399999999996,3119120.7447756836,1.1011399999999996,TP,4429.151457580013,229005.84508137678,1.9722222222220336
2022-03-25 07:00:00+00:00,2022-03-25 08:00:00+00:00,short,1.10276,1.10338,1.1015199999999998,3693642.6626024647,1.1015199999999998,TP,4506.244048375002,233512.08912975178,1.9677419354836627
2022-03-30 08:00:00+00:00,2022-03-30 14:00:00+00:00,long,1.11281,1.11071,1.11701,1111962.3291892991,1.11701,TP,4648.002536011104,238160.09166576288,1.990476190476128
2022-04-05 03:00:00+00:00,2022-04-05 06:00:00+00:00,short,1.0969,1.09779,1.0951199999999999,2675956.086131995,1.09779,SL,-2435.12003838062,235724.97162738227,-1.0224719101125055
2022-04-22 08:00:00+00:00,2022-04-22 08:00:00+00:00,long,1.0807,1.07978,1.08254,2562227.9524714574,1.07978,SL,-2408.4942753235873,233316.4773520587,-1.0217391304349241
2022-04-25 03:00:00+00:00,2022-04-25 06:00:00+00:00,short,1.07813,1.07938,1.07563,1866531.8188165093,1.07563,TP,4628.998910664599,237945.4762627233,1.9839999999998947
